step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
137,6.889248371124268,,,0.00011629213483146067,0.0038764044943820227,1.856274962425232,1649.8420238494873,317780.728349195,
138,6.808469772338867,,,0.00011713483146067414,0.0039044943820224715,1.6848639249801636,1649.3818759918213,317869.3834529559,
139,6.898982524871826,,,0.00011797752808988763,0.003932584269662922,1.6395320892333984,1649.3053436279297,317884.1334781216,
140,7.0039873123168945,,,0.00011882022471910112,0.003960674157303371,1.7550950050354004,1648.6473083496094,318011.01263122336,
141,6.882615089416504,,,0.0001196629213483146,0.003988764044943821,1.3437987565994263,1649.1773128509521,317908.8118145751,
142,6.945438861846924,,,0.00012050561797752808,0.004016853932584269,1.7199982404708862,1648.8630771636963,317969.39798170375,
143,6.873724460601807,,,0.00012134831460674156,0.004044943820224719,1.3663392066955566,1648.989200592041,317945.0779979417,
144,6.877835750579834,,,0.00012219101123595505,0.004073033707865169,1.326256513595581,1648.026466369629,318130.81324775866,
145,6.8717451095581055,,,0.00012303370786516854,0.004101123595505619,1.6128110885620117,1648.7090587615967,317999.10191177763,
146,6.866347312927246,,,0.000123876404494382,0.004129213483146067,1.6798146963119507,1649.02663230896,317937.86087365623,
147,6.859009742736816,,,0.0001247191011235955,0.004157303370786517,1.7271628379821777,1650.1669883728027,317718.1483414537,
148,6.851739406585693,,,0.000125561797752809,0.004185393258426966,1.6153253316879272,1649.970531463623,317755.978062787,
149,6.8456220626831055,,,0.00012640449438202248,0.0042134831460674165,1.814543604850769,1649.9700546264648,317756.0698934582,
150,6.8293280601501465,,,0.00012724719101123595,0.004241573033707865,1.4184612035751343,1657.7684879302979,316261.2896898328,
151,6.733580589294434,,,0.0001280898876404494,0.004269662921348314,1.4367709159851074,1649.153470993042,317913.40783116966,
152,6.750885963439941,,,0.0001289325842696629,0.004297752808988764,1.2799806594848633,1650.3169536590576,317689.2771037446,
153,6.81874418258667,,,0.0001297752808988764,0.004325842696629213,1.332533836364746,1649.2784023284912,317889.326180345,
154,6.716614246368408,,,0.00013061797752808986,0.004353932584269663,1.40866219997406,1649.745225906372,317799.3739681565,
155,6.6771345138549805,,,0.00013146067415730335,0.004382022471910112,1.447288990020752,1649.7457027435303,317799.28211245406,
156,6.748043537139893,,,0.00013230337078651684,0.004410112359550562,1.5200151205062866,1648.8463878631592,317972.6164057386,
157,6.790978908538818,,,0.00013314606741573034,0.004438202247191012,1.1478153467178345,1650.0685214996338,317737.10798598273,
158,6.765203475952148,,,0.0001339887640449438,0.00446629213483146,1.1712716817855835,1649.670124053955,317813.84190409956,
159,6.683796405792236,,,0.0001348314606741573,0.0044943820224719105,1.2561614513397217,1649.707317352295,317806.6766664152,
160,6.622371673583984,,,0.00013567415730337078,0.00452247191011236,1.4377243518829346,1649.6591567993164,317815.9547922786,
161,6.706037521362305,,,0.00013651685393258425,0.004550561797752809,1.55652916431427,1649.789571762085,317790.8316149832,
162,6.594331741333008,,,0.00013735955056179774,0.004578651685393258,1.5585042238235474,1649.1811275482178,317908.0764642519,
163,6.54766845703125,,,0.0001382022471910112,0.004606741573033707,1.4748173952102661,1650.160551071167,317719.3877648266,
164,6.588828086853027,,,0.0001390449438202247,0.004634831460674157,1.728762149810791,1650.1519680023193,317721.0403443661,
165,6.610430717468262,,,0.0001398876404494382,0.004662921348314607,1.386541724205017,1649.9056816101074,317768.46752134257,
166,6.462358474731445,,,0.00014073033707865168,0.004691011235955057,1.8018662929534912,1650.5343914031982,317647.4254221857,
167,6.546022415161133,,,0.00014157303370786515,0.004719101123595505,1.4341925382614136,1648.9410400390625,317954.3642067274,
168,6.513352870941162,,,0.00014241573033707864,0.004747191011235955,1.405150055885315,1649.580717086792,317831.0673550477,
169,6.548511505126953,,,0.00014325842696629213,0.004775280898876405,1.5455049276351929,1648.9341259002686,317955.6974198436,
170,6.514034748077393,,,0.00014410112359550562,0.004803370786516855,1.319473147392273,1649.7716903686523,317794.27605697635,
171,6.538753986358643,,,0.0001449438202247191,0.004831460674157304,1.5594749450683594,1649.9361991882324,317762.5900067829,
172,6.519338607788086,,,0.00014578651685393258,0.004859550561797753,1.2284709215164185,1649.1878032684326,317906.78960937203,
173,6.464165687561035,,,0.00014662921348314605,0.004887640449438202,1.4681531190872192,1649.5394706726074,317839.0146591758,
174,6.433356285095215,,,0.00014747191011235954,0.0049157303370786515,1.321392297744751,1649.677038192749,317812.50988033816,
175,6.507340908050537,,,0.000148314606741573,0.004943820224719101,1.843418002128601,1649.4853496551514,317849.4432276164,
176,6.431378364562988,,,0.0001491573033707865,0.004971910112359551,1.4452877044677734,1649.0623950958252,317930.9658380356,
177,6.475623607635498,,,0.00015,0.005,1.5079773664474487,1649.5471000671387,317837.5446076446,
178,6.399503231048584,,,0.00015084269662921348,0.00502808988764045,1.3390309810638428,1649.334192276001,317878.5733390442,
179,6.378777027130127,,,0.00015168539325842694,0.005056179775280899,1.282860279083252,1649.4076251983643,317864.4211354043,
180,6.361117362976074,,,0.00015252808988764044,0.005084269662921348,1.1548564434051514,1649.7914791107178,317790.4642122442,
181,6.397329807281494,,,0.00015337078651685393,0.005112359550561798,1.1156554222106934,1649.000644683838,317942.87145383225,
182,6.3818769454956055,,,0.00015421348314606742,0.005140449438202248,1.4152929782867432,1649.3360996246338,317878.20573339827,
183,6.376433849334717,,,0.00015505617977528088,0.005168539325842697,1.4958367347717285,1649.2528915405273,317894.2433202438,
184,6.392168045043945,,,0.00015589887640449438,0.0051966292134831464,1.3674315214157104,1648.9596366882324,317950.7783786504,
185,6.451442718505859,,,0.00015674157303370784,0.005224719101123595,1.4383008480072021,1648.733139038086,317994.4574328647,
186,6.464590072631836,,,0.00015758426966292133,0.005252808988764045,1.4063379764556885,1649.4317054748535,317859.7805897415,
187,6.5341362953186035,,,0.0001584269662921348,0.005280898876404494,1.3627338409423828,1648.6742496490479,318005.81595279044,
188,6.479465961456299,,,0.0001592696629213483,0.005308988764044944,1.2968385219573975,1649.6829986572266,317811.36159295373,
189,6.445652961730957,,,0.00016011235955056178,0.0053370786516853935,1.465714454650879,1649.627923965454,317821.9720842816,
190,6.5058512687683105,,,0.00016095505617977528,0.0053651685393258436,1.4460926055908203,2033.9744091033936,257765.28832096467,
191,6.437999248504639,,,0.00016179775280898877,0.005393258426966293,1.7157626152038574,1649.6894359588623,317810.12145189854,
192,6.423412799835205,,,0.00016264044943820223,0.005421348314606742,1.2999576330184937,1650.1762866973877,317716.35808032,
193,6.465821266174316,,,0.00016348314606741572,0.005449438202247191,1.2222267389297485,1649.2841243743896,317888.2232913472,
194,6.352146625518799,,,0.00016432584269662922,0.005477528089887641,1.345847249031067,1649.8785018920898,317773.7023658067,
195,6.379705905914307,,,0.00016516853932584268,0.00550561797752809,1.3001679182052612,1649.00803565979,317941.44641037204,
196,6.344051837921143,,,0.00016601123595505615,0.005533707865168539,1.4211094379425049,1649.2607593536377,317892.7268029307,
197,6.384181976318359,,,0.00016685393258426964,0.005561797752808988,1.1768109798431396,1649.1038799285889,317922.96797137073,
198,6.3740129470825195,,,0.00016769662921348313,0.005589887640449438,1.3403315544128418,1649.871587753296,317775.0340642852,
199,6.351912975311279,,,0.00016853932584269662,0.005617977528089888,1.2449713945388794,1649.336814880371,317878.06788150023,
200,6.344045639038086,,,0.0001693820224719101,0.005646067415730337,1.409766674041748,1649.4975090026855,317847.10018567625,
201,6.315883636474609,,,0.00017022471910112358,0.005674157303370786,1.2308299541473389,1649.1994857788086,317904.5376384005,
202,6.311838150024414,,,0.00017106741573033707,0.005702247191011236,1.7452508211135864,1650.4058837890625,317672.15880030696,
203,6.3387627601623535,,,0.00017191011235955056,0.005730337078651686,1.6101118326187134,1649.8281955718994,317783.3918750915,
204,6.294436454772949,,,0.00017275280898876403,0.005758426966292135,1.4431041479110718,1650.0179767608643,317746.84117637627,
226,6.019706726074219,,,0.00019129213483146066,0.006376404494382024,1.5030730962753296,1649.416208267212,317862.7670639837,
227,6.151483058929443,,,0.00019213483146067413,0.006404494382022472,1.2512391805648804,1649.479866027832,317850.4999048916,
228,6.0519232749938965,,,0.00019297752808988762,0.006432584269662921,1.2116347551345825,1649.1484642028809,317914.3730115382,
229,6.033873558044434,,,0.0001938202247191011,0.006460674157303371,1.2248982191085815,1649.2674350738525,317891.4400723148,
230,6.038164138793945,,,0.0001946629213483146,0.006488764044943821,1.1882398128509521,1650.0892639160156,317733.11387758027,
231,6.034034729003906,,,0.00019550561797752807,0.00651685393258427,1.1798350811004639,1649.9431133270264,317761.2584126006,
